286662 (u'NS2.UNIREGISTRYMARKET.LINK', u'NS1.UNIREGISTRYMARKET.LINK')
73 (u'NS1.LOOTVIA', u'NS2.LOOTVIA')
73 (u'NS2.GVODNS',)
73 (u'NS3CQZ.NAME',)
72 (u'WOZ.NS.CLOUDFLARE',)
72 (u'NS13.DNSMADEEASY',)
71 (u'NS5.KASSERVER', u'NS6.KASSERVER')
70 (u'DPS1.NS365.NET', u'DPS2.NS365.NET')
69 (u'NS2.DRAGONPARKING', u'NS1.DRAGONPARKING')
69 (u'NS4SXY.NAME',)
69 (u'EVAN.NS.CLOUDFLARE',)
69 (u'NS1.FASTDNS.HOSTING',)
68 (u'ANIRBAN.NS.CLOUDFLARE',)
68 (u'NS2.FASTDNS.HOSTING',)
67 (u'NS32.NIAGAHOSTER', u'NS31.NIAGAHOSTER')
67 (u'NS2.DNSDUN.NET',)
67 (u'ANDY.NS.CLOUDFLARE',)
67 (u'NS3NRZ.NAME',)
67 (u'NS3.GYNETWEBHOSTING', u'NS4.GYNETWEBHOSTING')
66 (u'NS1CMT.NAME',)
66 (u'NS1.SITEGROUND342', u'NS2.SITEGROUND342')
66 (u'PARK.I-NOW.CN',)
65 (u'NS3.FASTDNS.HOSTING',)
65 (u'DNSTEMP2.DOTVNDNS', u'DNSTEMP1.DOTVNDNS')
65 (u'NS4029.HOSTGATOR', u'NS4030.HOSTGATOR')
64 (u'COBY.NS.CLOUDFLARE',)
64 (u'NS1.NDNS.CN',)
64 (u'NS1.HE.NET',)
64 (u'NS15.MIDPHASE', u'NS14.MIDPHASE')
64 (u'FREEDNS5.REGISTRAR-SERVERS',)
63 (u'PARK.I-NOW',)
63 (u'NS1.CONTABO.NET',)
63 (u'MARJORY.NS.CLOUDFLARE',)
62 (u'NS2.CONTABO.NET',)
62 (u'NS27.NIAGAHOSTER', u'NS28.NIAGAHOSTER')
62 (u'CNS134.HOSTGATOR', u'CNS133.HOSTGATOR')
62 (u'NS16.MIDPHASE',)
61 (u'NS1FKL.NAME',)
61 (u'NS30.NIAGAHOSTER', u'NS29.NIAGAHOSTER')
61 (u'NS3.WEB4AFRICA', u'NS4.WEB4AFRICA')
61 (u'NS2.WEBWARE.HOST',)
60 (u'ED.NS.CLOUDFLARE',)
60 (u'NS1.WEB4AFRICA', u'NS2.WEB4AFRICA')
59 (u'NS14.DNSMADEEASY',)
58 (u'ROXY.NS.CLOUDFLARE',)
58 (u'NS2.DOTVNDNS.VN', u'NS1.DOTVNDNS.VN')
57 (u'NS3.CONTABO.NET',)
56 (u'NS1.AMENWORLD', u'NS2.AMENWORLD')
56 (u'LARA.NS.CLOUDFLARE',)
56 (u'NS1.US12.SITEGROUND.US', u'NS2.US12.SITEGROUND.US')
55 (u'JO.NS.CLOUDFLARE',)
55 (u'NS601.DNSSERVERBOOT', u'NS602.DNSSERVERBOOT')
54 (u'NS3FQS.NAME',)
54 (u'ABBY.NS.CLOUDFLARE',)
54 (u'NS3.AFRAID.ORG',)
54 (u'DOUG.NS.CLOUDFLARE',)
54 (u'RUDY.NS.CLOUDFLARE',)
53 (u'NS15.DNSMADEEASY',)
52 (u'DAWN.NS.CLOUDFLARE',)
52 (u'NS2000.MOCHAHOST',)
51 (u'NSG2.NAMEBRIGHTDNS', u'NSG1.NAMEBRIGHTDNS')
51 (u'ARNOLD.NS.CLOUDFLARE',)
51 (u'DANA.NS.CLOUDFLARE',)
51 (u'NS1000.MOCHAHOST',)
50 (u'SK.S7.ANS1.NS86.KLCZY', u'SK.S7.ANS2.NS86.KLCZY')
50 (u'NS3QTX.NAME',)
50 (u'SIMA.NS.CLOUDFLARE',)
49 (u'NS2.SYRAHOST', u'NS1.SYRAHOST')
